"medicinalproduct","activesubstancename"
"DEXAMETHASONE PHOSPHATE SODIUM","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE PHOS","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE MERCK /00016002/","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE MERCK                /00016002/","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE INJECTION (MANUFACTURER UNKNOWN)  (DEXAMETHASONE SODIUM PHOSPHATE) (DEXAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE INJECTION (MANUFACTURER UNKNOWN) (DEXAMETHASONE SODIUM PHOSPHATE) (DECAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE INJECTION (MANUFACTURER UNKNOWN) (DEAMETHASONE SODIUM PHOSPHATE) (DEXAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE DISODIUM PHOSPHATE","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE (DEXAMETHASONE SODIUM PHOSPHATE) (UNKNOWN) (DEXAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE /00016002/","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE                      /00016002/","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAFREE","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXA EDO","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXACORTIN 20MG DEXACORTEN","DEXAMETHASONE SODIUM PHOSPHATE"
"DEXACORT","DEXAMETHASONE SODIUM PHOSPHATE"
"DESAMETASONE FOSFATO HOSPIRA - 4MG/ML SOLUZIONE INIETTABILE","DEXAMETHASONE SODIUM PHOSPHATE"
"DESAMETASONE FOSF                  /00016002/","DEXAMETHASONE SODIUM PHOSPHATE"
"DECADRON PHOSPHATE INJECTION 3.3MG","DEXAMETHASONE SODIUM PHOSPHATE"
"DECADRON (DEXAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE SODIUM PHOSPHATE"
"ZOMACTON (ZOMACTON 4IU/12IU) 1 IU (NOT SPECIFIED)","SOMATROPIN"
"ZOMACTON (ZOMACTON) 1.2 IU (NOT SPECIFIED)","SOMATROPIN"
"ZOMACTON","SOMATROPIN"
"TEV-TROPIN","SOMATROPIN"
"SOMATROPIN (SOMATROPIN) UNKNOWN","SOMATROPIN"
"SOMATROPIN (SOMATROPIN)","SOMATROPIN"
"SOMATROPINE","SOMATROPIN"
"SOMATROPIN BS (RECOMBINANT GH) (NOT SPECIFED)","SOMATROPIN"
"SOMATROPIN BS","SOMATROPIN"
"SOMATROPIN","SOMATROPIN"
"SEROSTIM","SOMATROPIN"
"SCITROPIN","SOMATROPIN"
"SAIZEN","SOMATROPIN"
"RECOMBINANT HUMAN GROWTH HORMONE (RHGH)","SOMATROPIN"
"OMNITROPE","SOMATROPIN"
"OMNITROP","SOMATROPIN"
"NUTROPIN AQ PEN","SOMATROPIN"
"NUTROPIN AQ NUSPIN","SOMATROPIN"
"NUTROPIN AQ","SOMATROPIN"
"NUTROPIN","SOMATROPIN"
"NORDITROPIN SIMPLEXX 3.3 MG/ML","SOMATROPIN"
"NORDITROPINE","SOMATROPIN"
"NORDITROPIN","SOMATROPIN"
"NORDILET 6.7 MG/ML","SOMATROPIN"
"NORDILET","SOMATROPIN"
"HUMATROPE","SOMATROPIN"
"HUMAN GROWTH HORMONE, RECOMBINANT","SOMATROPIN"
"GX-H9","SOMATROPIN"
"GROWTH HORMONE","SOMATROPIN"
"GROWJECT","SOMATROPIN"
"GENOTROPIN TC","SOMATROPIN"
"GENOTROPIN MQ","SOMATROPIN"
"GENOTROPIN GOQUICK","SOMATROPIN"
"GENOTROPIN","SOMATROPIN"
"GENOTONORM MINIQUICK","SOMATROPIN"
"GENOTONORM KABIQUICK","SOMATROPIN"
"GENOTONORM","SOMATROPIN"
"PROPOXYPHENE NAPSYLATE","PROPOXYPHENE NAPSYLATE"
"DEXTROPROPOXYPHENE NAPSYLATE","PROPOXYPHENE NAPSYLATE"
"DEXOFEN (DEXTROPROPOXYPHENE NAPSILATE)","PROPOXYPHENE NAPSYLATE"
"DARVON-N","PROPOXYPHENE NAPSYLATE"
"TECHNETIUM TC99M TSC","TECHNETIUM TC-99M SULFUR COLLOID"
"TECHNETIUM TC 99M SULFUR COLLOID","TECHNETIUM TC-99M SULFUR COLLOID"
"TECHNETIUM SULFIDE TC 99M COLLOID","TECHNETIUM TC-99M SULFUR COLLOID"
"DYPHYLLINE","DYPHYLLINE"
"DIPROPHYLLINE","DYPHYLLINE"
"DILOR","DYPHYLLINE"
"OLSALAZINE","OLSALAZINE"
"CVP(CYCLOPHOSPHAMIDE\PREDNISONE\VINCRISTINE)","CYCLOPHOSPHAMIDE\PREDNISONE\VINCRISTINE"
"ANALGILASA","ACETAMINOPHEN\CAFFEINE\CODEINE PHOSPHATE\PAPAVERINE HYDROCHLORIDE"
"THERARUBICIN","PIRARUBICIN HYDROCHLORIDE"
"PIRARUBICIN  HYDROCHLORIDE","PIRARUBICIN HYDROCHLORIDE"
"PIRARUBICIN HYDROCHLORIDE","PIRARUBICIN HYDROCHLORIDE"
"ZAMADOL - SLOW RELEASE","TRAMADOL"
"UPSECIFIED TRAMADOL","TRAMADOL"
"UNSPECIFIED TRAMADOL","TRAMADOL"
"TRANADOL 50 MLG TV","TRAMADOL"
"TRAMEDO","TRAMADOL"
"TRAMCONTIN","TRAMADOL"
"TRAMAL RETARD","TRAMADOL"
"TRAMAL OD","TRAMADOL"
"TRAMAL LONG 50 MG","TRAMADOL"
"TRAMAL LONG","TRAMADOL"
"TRAMAL","TRAMADOL"
"TRAMAGETIC","TRAMADOL"
"TRAMADOL (UNKNOWN)","TRAMADOL"
"TRAMADOL TROPFEN","TRAMADOL"
"TRAMADOL (TRAMADOL) UNKNOWN","TRAMADOL"
"TRAMADOL (TRAMADOL) (TRAMADOL)","TRAMADOL"
"TRAMADOL (TRAMADOL) TABLET, 50 MG","TRAMADOL"
"TRAMADOL TRAMADOL 50 MG","TRAMADOL"
"TRAMADOL (TRAMADOL) 50 MG","TRAMADOL"
"TRAMADOL (TRAMADOL) 100 MG","TRAMADOL"
"TRAMADOL(TRAMADOL)","TRAMADOL"
"TRAMADOL (TRAMADOL)","TRAMADOL"
"TRAMADOL (TRAMADOL )","TRAMADOL"
"TRAMADOL TEVA","TRAMADOL"
"TRAMADOL TABLET (TRAMADOL) TABLET","TRAMADOL"
"TRAMADOL TABLETTEN","TRAMADOL"
"TRAMADOL (SIMILAR TO NDA 21-745)","TRAMADOL"
"TRAMADOL SANDOZ","TRAMADOL"
"TRAMADOL RETARD APOTEX","TRAMADOL"
"TRAMADOL RETARD ACTAVIS","TRAMADOL"
"TRAMADOL RETARD","TRAMADOL"
"TRAMADOL RATIOPHARM 50 MG CAPSULAS DURAS EFG","TRAMADOL"
"TRAMADOL PROLONGED RELEASE TABLETS","TRAMADOL"
"TRAMADOL PAIN RELIEF","TRAMADOL"
"TRAMADOLOR","TRAMADOL"
"TRAMADOLO","TRAMADOL"
"TRAMADOL MYLAN LP 100 MG, COMPRIM? ? LIB?RATION PROLONG?E","TRAMADOL"
"TRAMADOL MYLAN 100 MG, COMPRIM? ? LIB?RATION PROLONG?E","TRAMADOL"
"TRAMADOL MYLAN","TRAMADOL"
"TRAMADOL-MEPHA TROPFEN","TRAMADOL"
"TRAMADOL-MEPHA","TRAMADOL"
"TRAMADOL JANSSEN","TRAMADOL"
"TRAMADOL IR","TRAMADOL"
"TRAMADOL HEXAL","TRAMADOL"
"TRAMADOL HCL 50 MG NORTHSTAR","TRAMADOL"
"TRAMADOL HCL 50 MG AMNEAL PHARMACEUTICAL","TRAMADOL"
"TRAMADOL HARD CAPSULE","TRAMADOL"
"TRAMADOL DCI PHARMA","TRAMADOL"
"TRAMADOL BASICS","TRAMADOL"
"TRAMADOL BASE","TRAMADOL"
"TRAMADOL ARROW TABLET 50MG","TRAMADOL"
"TRAMADOL ARROW 200MG","TRAMADOL"
"TRAMADOL ARROW 100MG","TRAMADOL"
"TRAMADOL ARROW","TRAMADOL"
"TRAMADOL APAP","TRAMADOL"
"TRAMADOL ACTAVIS","TRAMADOL"
"TRAMADOL ACCORD","TRAMADOL"
"TRAMADOL 50 MG ZYDUS","TRAMADOL"
"TRAMADOL 50 MG ULTRAM","TRAMADOL"
"TRAMADOL 50MG (TRAMADOL) UNKNOWN, 50MG","TRAMADOL"
"TRAMADOL 50 MG TEVA","TRAMADOL"
"TRAMADOL 50MG TABLETS TRAMADOL","TRAMADOL"
"TRAMADOL 50MG PRICARA","TRAMADOL"
"TRAMADOL 50 MG MYLAN","TRAMADOL"
"TRAMADOL 50 MG COMPOUNDED","TRAMADOL"
"TRAMADOL 50MG CAPSULES, HARD (TRAMADOL) CAPSULE, HARD, 50MG","TRAMADOL"
"TRAMADOL 50MG CAPSULES, HARD","TRAMADOL"
"TRAMADOL 50 MG AMNEAL PHARMACEUTICALS","TRAMADOL"
"TRAMADOL 50 MG ACCORD","TRAMADOL"
"TRAMADOL 50MG ?","TRAMADOL"
"TRAMADOL 50 MG","TRAMADOL"
"TRAMADOL 50MG","TRAMADOL"
"TRAMADOL 50 HCL AMNEAL","TRAMADOL"
"TRAMADOL 50","TRAMADOL"
"TRAMADOL 25 MG","TRAMADOL"
"TRAMADOL 1 A PHARMA (TRAMADOL 1 PHARMA DROPS) (NOT SPECIFIED)","TRAMADOL"
"TRAMADOL 1 A PHARMA DROPS","TRAMADOL"
"TRAMADOL 10 MG","TRAMADOL"
"TRAMADOL                           /00599202/","TRAMADOL"
"TRAMADOL.","TRAMADOL"
"TRAMADOL","TRAMADOL"
"TRAMADEX","TRAMADOL"
"TRALGIT","TRAMADOL"
"TRADOLAN","TRAMADOL"
"TOPALGIC (TRAMADOL HYDROCHLORIDE)","TRAMADOL"
"TOPALGIC SR","TRAMADOL"
"TOPALGIC LP 100 MG","TRAMADOL"
"TOPALGIC L.P. 100 MG","TRAMADOL"
"TOPALGIC LP","TRAMADOL"
"TOPALGIC ^HOUDE^","TRAMADOL"
"TOPALGIC (FRANCE)","TRAMADOL"
"TOPALGIC ( FRANCE )","TRAMADOL"
"TOPALGIC 100MG/2ML","TRAMADOL"
"TOPALGIC /00599202/","TRAMADOL"
"TOPALGIC                           /00599202/","TRAMADOL"
"TOPALGIC","TRAMADOL"
"T-LONG","TRAMADOL"
"TAKADOL","TRAMADOL"
"OROZAMUDOL","TRAMADOL"
"MANDOLGIN RETARD","TRAMADOL"
"MANDOLGIN","TRAMADOL"
"GENERIC TRAMADOL","TRAMADOL"
"DOLOL RETARD UNO","TRAMADOL"
"DOLOL /00599201/","TRAMADOL"
"DOLOL                              /00599201/","TRAMADOL"
"DOLOL","TRAMADOL"
"APO-TRAMADOL","TRAMADOL"
"PINEAL NOTTE","MELATONIN"
"NAKA (MELATONIN)","MELATONIN"
"MELATONIN VIA GT (GASTRIC TUBE)","MELATONIN"
"MELATONIN NATURE MADE","MELATONIN"
"MELATONIN MODIFIED RELEASE TABLETS","MELATONIN"
"MELATONIN (MELATONIN)","MELATONIN"
"MELATONINE TABLET 5MG","MELATONIN"
"MELATONINE","MELATONIN"
"MELATONIN","MELATONIN"
"CIRCADIN","MELATONIN"
"TALNIFLUMATE","TALNIFLUMATE"
"SOMALGEN (TALNIFLUMATE) TABLET, 100MG","TALNIFLUMATE"
"ANTILIRIUM","PHYSOSTIGMINE SALICYLATE"
"DMAA","METHYLHEXANEAMINE"
"RATIO-ACLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"RAMOCLAV, 875 MG + 125 MG, FILM-COATED TABLETS","AMOXICILLIN\CLAVULANATE POTASSIUM"
"OPTAMOX","AMOXICILLIN\CLAVULANATE POTASSIUM"
"NOVAMOX (AMOXICILLIN (+) CLAVULANATE POTASSIUM)","AMOXICILLIN\CLAVULANATE POTASSIUM"
"NEODUPLAMOX - 875 MG/125 MG COMPRESSE RIVESTITE CON FILM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"NEODUPLAMOX","AMOXICILLIN\CLAVULANATE POTASSIUM"
"HOMER - 875 MG + 125 MG COMPRESSE RIVESTITE CON FILM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"HOMER","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CURAM DUO FORTE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CURAM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CO-AMOXI-MEPHA 1000","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CO-AMOXI-MEPHA","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CO-AMOXICLAV (AUGMENTIN /00756801/) (UNKNOWN) (AMOXICILLIN SODIUM, CLAVULANATE POTASSIUM)","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CO-AMOXICLAV (AUGMENTIN/00756801)","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CO-AMOXICLAV /01000301/","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CO-AMOXICLAV                       /01000301/","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CO-AMOXICILAV","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CO-AMOXI","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CLAVULIN BD","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CLAVAMOX","AMOXICILLIN\CLAVULANATE POTASSIUM"
"CIBLOR","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AUGMENTIN XR","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AUGMENTIN ES-600","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AUGMENTINE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AUGMENTIN DUO FORTE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AUGMENTIN DUO","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AUGMENTIN","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AUGMENTAN                          /00756801/","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AUGMENTAN","AMOXICILLIN\CLAVULANATE POTASSIUM"
"APO-AMOXI CLAV","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXYCILLIN + POTASSIUM CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXYCILLIN/CLAV 875 AUROBINDO","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX TR- POTASSIUM CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX TR-K CLV 875-125MG TAB SANDOZ","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX TR-K CLV 875-125 MG TABLETS","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX TR-K CLV 875-125 MG TAB DR. REDDY^S LAB","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX TR-K CLV 875-125 MG GENERIC FOR AUGMENTIN 875 MG SANDOZ","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX TR-KCLV 600 42.9/5 NORTHSTAR RX","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX TR-K CLV","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX TR K CLV","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX TR-KCL","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX/K CLAV (SUBSTITUTED FOR AUGM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX/K CLAV 875-125 TAB SANDOZ","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX/K CLAV","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXIN TR-K CLV","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXIN COMP 500MG/125MG","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXIN COMP 500 MG","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICLLIN/K CLAVULAN","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICLAV QUICK TAB","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICLAV-CT","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN W/CLAVULANATE POTASSIUM TABLETS","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN W/CLAVULANATE POTASSIUM ORAL SUSPENSION","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN W/CLAVULANATE POTASSIUM ES-600 POWDER FOR ORAL SUSPENSION","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN W/CLAVULANATE POTASSIUM 875 MG TABLETS","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN W/CLAVULANATE POTASSIUM 500 MG TABLETS","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN W/CLAVULANATE POTASSIUM 250 MG/5 ML FOR ORAL SUSPENSION","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN W/C AVULANATE POTASSIUM 500 MG TABLETS","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN TR/POTASSIUM CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN TRIHYDRATE W/CLAVULANTE POTASSIUM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN TRIHYDRATE W/CLAVULANATE POTASS.","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN TRIHYDRATE, CLAVULANIC ACID SANDOZ (AMOXICILLIN TRIHYDRATE, CLAVULANIC ACID) POWDER FOR ORAL SOLUTION","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN TRIHYDRATE / CLAVULANATE POTASSIUM ACTAVIS","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN SODIUM W/CLAVULANIC ACID","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN SODIUM W/CLAVULANATE POTASSIUM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN SODIUM+POTASSIUM CLAVULANATE SANDOZ","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN SODIUM+POTASSIUM CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN SODIUM + POTASSIUM CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN SODIUM/CLAVULANATE POTASSIUM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN SODIUM AND CLAVULANATE POTASSIUM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN/POT CLAVULANCE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN-POT CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLINE/CLAVULANATE POTASSIUM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLINE + CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLINE/CLAVULAANZUUR SANDOZ","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLINE/CLAVULAANZUUR MYLAN","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLINE/CLAVULAANZUUR INJPDR 1000/200MG","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLINE/CLAVULAANZUUR","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLINE ACIDE CLAVULANIQUE SANDOZ","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLINE/ACIDE CLAVULANIQUE RPG","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN/CLAVULANTE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN /CLAVULANSAEURE 875/125 MG","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN+CLAVULANATE SANDOZ","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN\CLAVULANATE POTASSIUM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN/CLAVULANATE POTASSIUM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN + CLAVULANATE POTASSIUM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN (+) CLAVULANATE POTASSIUM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN + CLAVULANATE K","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN+CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN\CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN/CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN, CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN + CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN / CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN/CLAVULAN 125MG AUROBINDO","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN/CALVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN AND CLAVULANTE POTASSIUM (AMOXICILLIN, CLAVULANATE) TABLE T","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN AND CLAVULANATE POTASSIUM TABLETS USP  875 MG/125 MG","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN AND CLAVULANATE POTASSIUM TABLETS USP","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN AND CLAVULANATEPOTASSIUMFORORALSUSPENSIONUSP600/42.9MG/5ML","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN AND CLAVULANATE POTASSIUM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN AND CLAVULANATE POTA 600 MG SANDOZ","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLIN AND CALVULANATE POTASSIUM","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILLINA E ACIDO CLAVULANICO SANDOZ","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILIN/CLAVULANATE","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXICILINA CLAV NORMON","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOXCLAV SANDOZ","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX-CLAV 875MG","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX CLAV 875 MG","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX CLAV 875MG","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX-CLAV 600 MG/42.9 MG PER 5ML SANDOZ","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX CLAV 1000/62.5","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX/CLAV","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX-CLAV","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOX CLAV","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOKSIKLAV 2X","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOKSIKLAV","AMOXICILLIN\CLAVULANATE POTASSIUM"
"AMOCLAV","AMOXICILLIN\CLAVULANATE POTASSIUM"
"ADVENT","AMOXICILLIN\CLAVULANATE POTASSIUM"
"ACICLA DUO","AMOXICILLIN\CLAVULANATE POTASSIUM"
"DOXOFYLLINE INJECTION (DOXOFYLLINE INJECTION)","DOXOFYLLINE"
"DOXOFYLLINE","DOXOFYLLINE"
"ANSIMAR","DOXOFYLLINE"
"RETEPLASE (UNKNOWN)","RETEPLASE"
"RETEPLASE","RETEPLASE"
"RETAVASE","RETEPLASE"
"RAPILYSIN /01333701/","RETEPLASE"
"MULTIBIONTA","MINERALS\PROBIOTICS NOS\VITAMINS"
"UT-15C SR(SUSTAINED-RELEASE TABLET)(TREPROSTINIL DIETHANOLAMINE)","TREPROSTINIL"
"TYVASO","TREPROSTINIL"
"TREPROSTINOL","TREPROSTINIL"
"TREPROSTINIL/TREPROSTINIL SODIUM","TREPROSTINIL"
"TREPROSTINIL (TREPROSTINIL)","TREPROSTINIL"
"TREPROSTINIL (INHALED) (TREPROSTINIL SODIUM (INHALED) INHALATION GAS","TREPROSTINIL"
"TREPROSTINIL DIETHANOLAMINE","TREPROSTINIL"
"TREPROSTINIL","TREPROSTINIL"
"REMODULIN (TRESPROSTINIL SODIUM)","TREPROSTINIL"
"REMODULIN (TREPROSTINIL SODIUM)","TREPROSTINIL"
"REMODULIN","TREPROSTINIL"
"ORENITRAM","TREPROSTINIL"
"MIFAMURTIDE SODIUM","MIFAMURTIDE"
"MIFAMURTIDE","MIFAMURTIDE"
"MEPACT (MIFAMURTIDE) (MIFAMURTIDE)","MIFAMURTIDE"
"MEPACT","MIFAMURTIDE"
"XIGDUO XR","DAPAGLIFLOZIN PROPANEDIOL\METFORMIN HYDROCHLORIDE"
"DAPAGLIFLOZIN WITH METFORMIN XR","DAPAGLIFLOZIN PROPANEDIOL\METFORMIN HYDROCHLORIDE"
"DAPAGLIFLOZIN+METFORMIN XR","DAPAGLIFLOZIN PROPANEDIOL\METFORMIN HYDROCHLORIDE"
"DAPAGLIFLOZIN METFORMIN XR","DAPAGLIFLOZIN PROPANEDIOL\METFORMIN HYDROCHLORIDE"
"DAPAGLIFLOZIN+METFORMIN","DAPAGLIFLOZIN PROPANEDIOL\METFORMIN HYDROCHLORIDE"
"DAPAGLIFLOZIN AND METFORMIN 5MG AND 1000MG ASTRAZENECA","DAPAGLIFLOZIN PROPANEDIOL\METFORMIN HYDROCHLORIDE"
"OTSUJITO","HERBS\ROOTS"
"KAKKON-TO","HERBS\ROOTS"
"HACHIMIJIO-GAN","HERBS\ROOTS"
"AVENE MOISTURIZER","HERBS\ROOTS"
"GARLIC OIL","GARLIC OIL"
"VIDARABINE PHOSPHATE.","VIDARABINE PHOSPHATE"
"MOFEZOLAC","MOFEZOLAC"
"SODIUM ALGINATE","SODIUM ALGINATE"
"FLAMINAL","SODIUM ALGINATE"
"BESOFTEN","SODIUM ALGINATE"
"ALLOID G","SODIUM ALGINATE"
"MAGNESIUM TRISILICATE","MAGNESIUM TRISILICATE"
"PROSTIGMINE /00045902/","NEOSTIGMINE BROMIDE"
"PROSTIGMINE","NEOSTIGMINE BROMIDE"
"PROSTIGMINA","NEOSTIGMINE BROMIDE"
"PROSTIGMIN","NEOSTIGMINE BROMIDE"
"NEOSTIGMINE BROMIDE","NEOSTIGMINE BROMIDE"
"VITALIZER","GLYCERIN"
"VAGINAL LUBRICANT WITH GLYCERIN","GLYCERIN"
"STERILE DILUENT FOR ALLERGENIC EXTRACT (GLYCERIN)","GLYCERIN"
"RESTORE","GLYCERIN"
"OASIS TEARS PLUS","GLYCERIN"
"OASIS TEARS","GLYCERIN"
"MINIDERM 20 % CREME","GLYCERIN"
"LUBRIDERM INTENSE SKIN REPAIR","GLYCERIN"
"KENEI G","GLYCERIN"
"GLYCORAN","GLYCERIN"
"GLYCEROL","GLYCERIN"
"GLYCERIN SUPPOSITORY","GLYCERIN"
"GLYCERINE","GLYCERIN"
"GLYCERIN ADULT","GLYCERIN"
